,z,VIA,Po,Pi,Vr,Cr,Pr,sol
0,0.01,10.0,5.622000000000001,0.598,0.0,17.622,1.6540000000000001,L
1,0.02,255.0,31.497,0.598,0.0,20.558000000000003,1.685,L
2,0.03,217.0,31.631,0.598,0.0,21.059,1.6540000000000001,L
3,0.04,215.0,31.759,0.5920000000000001,0.0,22.285999999999998,1.63,L
4,0.05,254.0,31.851,0.598,0.0,23.232,1.6540000000000001,L
5,0.06,240.0,31.881,0.586,0.0,24.263,1.6540000000000001,L
6,0.07,222.0,31.93,0.5920000000000001,0.0,24.392,1.624,L
7,0.08,171.0,32.125,0.598,0.0,27.436999999999998,1.605,L
8,0.09,143.0,32.278,0.598,0.0,30.947,1.508,L
9,0.1,169.0,32.327,0.61,0.0,33.255,1.4469999999999998,L
10,0.11,141.0,32.357,0.586,0.0,31.936,1.422,L
11,0.12,110.0,32.431,0.5920000000000001,0.0,31.729,1.386,L
12,0.13,123.0,32.614000000000004,0.61,0.0,33.316,1.349,L
13,0.14,115.0,32.809,0.598,0.0,31.471999999999998,1.331,L
14,0.15,110.0,32.961999999999996,0.61,0.0,33.999,1.3119999999999998,L
15,0.16,117.0,33.157,0.61,0.0,37.094,1.2209999999999999,L
16,0.17,101.0,33.31,0.598,0.0,39.475,1.172,L
17,0.18,113.0,33.236,0.61,0.0,38.223,1.111,L
18,0.19,102.0,33.279,0.598,0.0,37.997,1.08,L
19,0.2,103.0,33.266999999999996,0.598,0.0,36.691,1.099,L
20,0.21,100.0,33.486999999999995,0.598,0.0,36.789,1.025,L
21,0.22,80.0,33.681999999999995,0.61,0.0,37.82,0.9520000000000001,L
22,0.23,74.0,33.725,0.598,0.0,37.173,0.9159999999999999,L
23,0.24,51.0,34.201,0.61,0.0,35.934,0.855,L
24,0.25,48.0,34.286,0.598,0.0,35.684,0.83,L
25,0.26,31.0,34.842,0.61,0.0,35.861,0.794,L
26,0.27,57.0,34.628,0.598,0.0,34.181999999999995,0.763,L
27,0.28,96.0,33.297,0.598,0.0,35.629,0.775,L
28,0.29,62.0,33.731,0.598,0.0,37.43,0.812,L
29,0.3,47.0,34.181999999999995,0.61,0.0,41.037,0.8059999999999999,L
30,0.31,26.0,34.854,0.598,0.0,45.365,0.732,L
31,0.32,11.0,35.074,0.61,0.0,44.333,0.58,L
32,0.33,9.0,35.171,0.598,0.0,44.071000000000005,0.525,L
33,0.34,5.0,35.147,0.61,0.0,41.342,0.525,L
34,0.35,6.0,35.196,0.598,0.0,40.604,0.519,L
35,0.36,5.0,35.226,0.598,0.0,38.443000000000005,0.507,L
36,0.37,4.0,35.177,0.61,0.0,38.156,0.519,L
37,0.38,4.0,35.19,0.61,0.0,40.018,0.525,L
38,0.39,2.0,35.226,0.598,0.0,35.483000000000004,0.525,L
39,0.4,3.0,35.208,0.61,0.0,35.385,0.501,L
40,0.41,3.0,35.22,0.598,0.0,35.959,0.519,L
41,0.42,3.0,35.208,0.598,0.0,37.619,0.519,L
42,0.43,3.0,35.147,0.598,0.0,37.79,0.531,L
43,0.44,3.0,35.22,0.598,0.0,38.181,0.525,L
44,0.45,4.0,35.147,0.598,0.0,40.5,0.525,L
45,0.46,4.0,35.19,0.598,0.0,35.623000000000005,0.519,L
46,0.47,2.0,35.19,0.598,0.0,35.19,0.531,L
47,0.48,3.0,35.177,0.598,0.0,39.871,0.525,L
48,0.49,2.0,35.19,0.598,0.0,33.7,0.507,L
49,0.5,2.0,35.135,0.598,0.0,43.033,0.519,MC
50,0.51,2.0,35.141,0.61,0.0,42.336999999999996,0.525,MC
51,0.52,2.0,35.025,0.598,0.0,40.689,0.525,MC
52,0.53,1.0,35.116,0.598,0.0,39.694,0.519,MC
53,0.54,2.0,35.067,0.61,0.0,40.225,0.519,MC
54,0.55,3.0,35.043,0.61,0.0,42.618,0.519,MC
55,0.56,3.0,35.025,0.598,0.0,44.394,0.507,MC
56,0.57,2.0,35.019,0.61,0.0,41.245,0.507,MC
57,0.58,1.0,35.037,0.598,0.0,39.34,0.507,MC
58,0.59,1.0,35.019,0.598,0.0,36.941,0.519,MC
59,0.6,2.0,34.945,0.61,0.0,37.436,0.519,MC
60,0.61,2.0,34.952,0.61,0.0,40.134,0.501,MC
61,0.62,2.0,34.915,0.61,0.0,37.552,0.519,MC
62,0.63,1.0,34.89,0.598,0.0,38.900999999999996,0.507,MC
63,0.64,1.0,34.872,0.598,0.0,37.326,0.507,MC
64,0.65,2.0,34.86,0.598,0.0,35.605,0.507,MC
65,0.66,2.0,34.854,0.61,0.0,37.204,0.519,MC
66,0.67,2.0,34.866,0.61,0.0,35.269,0.507,MC
67,0.68,1.0,34.811,0.598,0.0,33.603,0.507,MC
68,0.69,1.0,34.811,0.598,0.0,35.971,0.531,MC
69,0.7,1.0,34.805,0.598,0.0,36.777,0.525,MC
70,0.71,2.0,34.793,0.598,0.0,40.64,0.519,MC
71,0.72,1.0,34.793,0.598,0.0,39.352,0.537,MC
72,0.73,4.0,35.006,0.61,0.0,34.256,0.7390000000000001,MC
73,0.74,1.0,35.074,0.61,0.0,33.639,0.531,MC
74,0.75,1.0,35.086,0.61,0.0,34.518,0.525,MC
75,0.76,2.0,35.055,0.61,0.0,38.406,0.519,MC
76,0.77,1.0,35.074,0.61,0.0,38.272,0.519,MC
77,0.78,1.0,35.067,0.61,0.0,35.086,0.519,MC
78,0.79,1.0,34.958,0.61,0.0,40.763000000000005,0.507,MC
79,0.8,2.0,34.988,0.61,0.0,39.719,0.519,MC
80,0.81,2.0,34.958,0.61,0.0,40.012,0.507,MC
81,0.82,1.0,34.945,0.61,0.0,39.414,0.519,MC
82,0.83,1.0,34.903,0.61,0.0,37.613,0.519,MC
83,0.84,1.0,34.921,0.61,0.0,37.735,0.507,MC
84,0.85,1.0,34.866,0.61,0.0,37.631,0.519,MC
85,0.86,2.0,34.854,0.61,0.0,39.45,0.519,MC
86,0.87,1.0,34.842,0.61,0.0,40.14,0.525,MC
87,0.88,1.0,34.823,0.61,0.0,40.17,0.525,MC
88,0.89,1.0,34.799,0.598,0.0,39.041,0.531,MC
89,0.9,1.0,34.799,0.61,0.0,38.431,0.525,MC
90,0.91,2.0,34.781,0.61,0.0,39.78,0.537,MC
91,0.92,1.0,34.805,0.61,0.0,37.033,0.531,MC
92,0.93,1.0,34.768,0.617,0.0,39.902,0.525,MC
93,0.94,1.0,34.793,0.623,0.0,40.732,0.525,MC
94,0.95,2.0,34.762,0.623,0.0,40.14,0.525,MC
95,0.96,1.0,34.762,0.629,0.0,38.437,0.519,MC
96,0.97,1.0,34.75,0.623,0.0,38.431,0.519,MC
97,0.98,1.0,34.762,0.623,0.0,38.559,0.507,MC
98,0.99,1.0,34.774,0.623,0.0,37.619,0.519,MC
99,1.0,2.0,34.744,0.623,0.0,39.133,0.525,MC
100,1.01,2.0,34.744,0.617,0.0,43.125,0.507,MC
101,1.02,1.0,34.738,0.617,0.0,40.695,0.507,MC
102,1.03,2.0,34.744,0.617,0.0,35.727,0.525,MC
103,1.04,1.0,34.744,0.617,0.0,37.295,0.494,MC
104,1.05,1.0,34.738,0.617,0.0,35.476,0.501,MC
105,1.06,1.0,34.732,0.617,0.0,39.816,0.501,MC
106,1.07,1.0,34.72,0.617,0.0,40.964,0.494,MC
107,1.08,3.0,34.677,0.617,0.0,35.501,0.501,MC
108,1.09,3.0,34.689,0.61,0.0,36.41,0.507,MC
109,1.1,3.0,34.701,0.617,0.0,34.579,0.519,MC
110,1.11,111.0,30.709,0.629,0.0,30.898000000000003,1.483,MC
111,1.12,20.0,30.978,0.623,0.0,33.554,1.386,MC
112,1.13,8.0,33.224000000000004,0.617,0.0,39.89,0.7509999999999999,MC
113,1.14,6.0,33.255,0.617,0.0,38.553000000000004,0.531,MC
